index,filename,function_name,smell,name_smell,message
0,F:\projects\AaronWardcovidify\src\covidify\data_prep.py,get_day_counts,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
1,F:\projects\AaronWardcovidify\src\covidify\forecast.py,forecast,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
2,F:\projects\AaronWardcovidify\src\covidify\sources\github.py,get_data,2,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
0,F:\projects\aiqmtorchani\tools\training-aev-benchmark.py,benchmark,2,gradients_not_cleared_before_backward_propagation,Please consider to use zero_grad() before backward().
0,F:\projects\allegroaitrains\clearml\logger.py,report_table,2,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
1,F:\projects\allegroaitrains\clearml\logger.py,_touch_title_series,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
2,F:\projects\allegroaitrains\clearml\model.py,report_table,2,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
3,F:\projects\allegroaitrains\clearml\model.py,_update_weights_offline,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
4,F:\projects\allegroaitrains\clearml\binding\artifacts.py,get,2,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
5,F:\projects\allegroaitrains\clearml\binding\artifacts.py,unregister_artifact,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
6,F:\projects\allegroaitrains\clearml\binding\artifacts.py,hash_row,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
7,F:\projects\allegroaitrains\clearml\datasets\dataset.py,_update_dependency_graph,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
8,F:\projects\allegroaitrains\clearml\datasets\dataset.py,_report_dataset_preview,3,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
9,F:\projects\allegroaitrains\clearml\datasets\dataset.py,convert_to_tabular_artifact,3,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
10,F:\projects\allegroaitrains\clearml\external\kerastuner.py,__init__,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
11,F:\projects\allegroaitrains\clearml\external\kerastuner.py,report_trial_state,2,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
12,F:\projects\allegroaitrains\clearml\utilities\plotly_reporter.py,create_3d_scatter_series,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
13,F:\projects\allegroaitrains\clearml\utilities\plotly_reporter.py,_get_z_colorbar_data,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
14,F:\projects\allegroaitrains\examples\cicd\task_stats_to_comment.py,create_comment_output,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
15,F:\projects\allegroaitrains\examples\frameworks\jsonargparse\pytorch_lightning_cli.py,training_step,1,pytorch_call_method_misused,is recommended to use self.net()
16,F:\projects\allegroaitrains\examples\frameworks\jsonargparse\pytorch_lightning_cli.py,test_step,1,pytorch_call_method_misused,is recommended to use self.net()
17,F:\projects\allegroaitrains\examples\frameworks\tensorflow\tensorboard_pr_curve.py,start_runs,6,tensor_array_not_used,"If the developer initializes an array using tf.constant() and tries to assign a new value to it in the loop to keep it growing, the code will run into an error.Using tf.TensorArray() for growing array in the loop is a better solution for this kind of problem in TensorFlow 2."
18,F:\projects\allegroaitrains\examples\frameworks\tensorflow\legacy\tensorboard_pr_curve.py,start_runs,6,tensor_array_not_used,"If the developer initializes an array using tf.constant() and tries to assign a new value to it in the loop to keep it growing, the code will run into an error.Using tf.TensorArray() for growing array in the loop is a better solution for this kind of problem in TensorFlow 2."
19,F:\projects\allegroaitrains\examples\pipeline\pipeline_from_decorator.py,step_one,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
20,F:\projects\allegroaitrains\examples\pipeline\pipeline_from_functions.py,step_one,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
21,F:\projects\allegroaitrains\examples\reporting\artifacts.py,main,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
22,F:\projects\allegroaitrains\examples\reporting\pandas_reporting.py,report_table,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
0,F:\projects\allenaiallennlp\allennlp\training\gradient_descent_trainer.py,_train_epoch,1,gradients_not_cleared_before_backward_propagation,Please consider to use zero_grad() before backward().
0,F:\projects\alvinwanneural-backed-decision-trees\nbdt\analysis.py,_update_batch,1,pytorch_call_method_misused,is recommended to use self.net()
1,F:\projects\alvinwanneural-backed-decision-trees\nbdt\model.py,forward_with_decisions,1,pytorch_call_method_misused,is recommended to use self.net()
0,F:\projects\amaiyaktrain\ktrain\tabular\preprocessor.py,pd_data_types,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
1,F:\projects\amaiyaktrain\ktrain\text\qa\qa_finetuner.py,convert_to_dataset,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
2,F:\projects\amaiyaktrain\ktrain\text\shallownlp\classifier.py,load_texts_from_csv,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
3,F:\projects\amaiyaktrain\tests\test_ci.py,adult_census,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
4,F:\projects\amaiyaktrain\tests\test_lda.py,test_qa,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
5,F:\projects\amaiyaktrain\tests\test_qa.py,test_extractor,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
6,F:\projects\amaiyaktrain\tests\test_tabular.py,test_classification,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
7,F:\projects\amaiyaktrain\tests\test_tabular.py,test_regression,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
8,F:\projects\amaiyaktrain\tests\test_textregression.py,setUp,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
0,F:\projects\analyticalmindsltdsmote_variants\smote_variants\evaluation\_functions.py,_pivot_best_scores,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
1,F:\projects\analyticalmindsltdsmote_variants\smote_variants\evaluation\_functions.py,do_parse_results,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
2,F:\projects\analyticalmindsltdsmote_variants\smote_variants\evaluation\_processing.py,load_dataset_data,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
3,F:\projects\analyticalmindsltdsmote_variants\smote_variants\visualization\_visualization.py,unique_data,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
4,F:\projects\analyticalmindsltdsmote_variants\smote_variants\visualization\_visualization.py,plot_raw,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
5,F:\projects\analyticalmindsltdsmote_variants\smote_variants\visualization\_visualization.py,plot_oversampled,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
6,F:\projects\analyticalmindsltdsmote_variants\utils\legacy\study.py,oversampler_summary_table,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
7,F:\projects\analyticalmindsltdsmote_variants\utils\legacy\study.py,oversampler_summary_table_thin,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
8,F:\projects\analyticalmindsltdsmote_variants\utils\legacy\study.py,top_score_and_classifier,2,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
9,F:\projects\analyticalmindsltdsmote_variants\utils\legacy\study.py,top_results_by_scores,2,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
0,F:\projects\AntonMuTrainYourOwnYOLO\Utils\Convert_Format.py,csv_from_xml,2,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
1,F:\projects\AntonMuTrainYourOwnYOLO\Utils\Convert_Format.py,crop_and_save,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
0,F:\projects\apachebeam\sdks\python\apache_beam\dataframe\doctests.py,record,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
1,F:\projects\apachebeam\sdks\python\apache_beam\dataframe\frames.py,func,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
2,F:\projects\apachebeam\sdks\python\apache_beam\dataframe\frames_test.py,with_categorical_index,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
3,F:\projects\apachebeam\sdks\python\apache_beam\dataframe\io.py,buffer_record,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
4,F:\projects\apachebeam\sdks\python\apache_beam\dataframe\io_test.py,temp_dir,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
5,F:\projects\apachebeam\sdks\python\apache_beam\dataframe\transforms.py,expr_to_stages,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
6,F:\projects\apachebeam\sdks\python\apache_beam\examples\per_entity_training.py,process,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
7,F:\projects\apachebeam\sdks\python\apache_beam\examples\inference\milk_quality_prediction_windowing.py,preprocess_data,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
8,F:\projects\apachebeam\sdks\python\apache_beam\examples\inference\milk_quality_prediction_windowing.py,train_model,2,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
9,F:\projects\apachebeam\sdks\python\apache_beam\examples\inference\milk_quality_prediction_windowing.py,run,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
10,F:\projects\apachebeam\sdks\python\apache_beam\examples\inference\sklearn_japanese_housing_regression.py,process,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
11,F:\projects\apachebeam\sdks\python\apache_beam\runners\interactive\interactive_beam.py,collect,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
12,F:\projects\apachebeam\sdks\python\apache_beam\runners\interactive\interactive_runner_test.py,test_streaming_wordcount,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
13,F:\projects\apachebeam\sdks\python\apache_beam\runners\interactive\recording_manager.py,wait_until_finish,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
14,F:\projects\apachebeam\sdks\python\apache_beam\runners\interactive\recording_manager.py,record,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
15,F:\projects\apachebeam\sdks\python\apache_beam\runners\interactive\utils.py,elements_to_df,2,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
16,F:\projects\apachebeam\sdks\python\apache_beam\testing\load_tests\load_test_metrics_utils.py,__init__,1,in_place_apis_misused,We suggest developers check whether the result of the operation is assigned to a variable or the in-place parameter is set in the API. Some developers hold the view that the in-place operation will save memory
0,F:\projects\apachecnInterview\src\py3.x\kaggle\getting-started\digit-recognizer\cnn_pytorch-python3.6.py,__init__,2,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
1,F:\projects\apachecnInterview\src\py3.x\kaggle\getting-started\digit-recognizer\knn-python3.6.py,opencsv,2,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
2,F:\projects\apachecnInterview\src\py3.x\kaggle\getting-started\digit-recognizer\knn-python3.6.py,opencsv,3,dataframe_conversion_api_misused,Please consider to use numpy instead values to convert dataframe. The function 'values' is deprecated.The value return of this function is unclear.
3,F:\projects\apachecnInterview\src\py3.x\kaggle\getting-started\digit-recognizer\rf-python3.6.py,opencsv,2,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
4,F:\projects\apachecnInterview\src\py3.x\kaggle\getting-started\digit-recognizer\svm-python3.6.py,opencsv,2,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
5,F:\projects\apachecnInterview\src\py3.x\kaggle\getting-started\digit-recognizer\svm-python3.6.py,opencsv,3,dataframe_conversion_api_misused,Please consider to use numpy instead values to convert dataframe. The function 'values' is deprecated.The value return of this function is unclear.
6,F:\projects\apachecnInterview\src\py3.x\kaggle\getting-started\house-prices\base-model_lasso_python3.6.py,opencsv,2,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
7,F:\projects\apachecnInterview\src\py3.x\kaggle\getting-started\house-prices\base-model_lasso_python3.6.py,ridgeRegression,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
8,F:\projects\apachecnInterview\src\py3.x\kaggle\getting-started\house-prices\deeplearning_method.py,load_data,2,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
9,F:\projects\apachecnInterview\src\py3.x\kaggle\getting-started\titanic\titanic-python3.6.py,opencsv,2,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
10,F:\projects\apachecnInterview\src\py3.x\kaggle\getting-started\titanic\titanic-python3.6.py,opencsv,3,dataframe_conversion_api_misused,Please consider to use numpy instead values to convert dataframe. The function 'values' is deprecated.The value return of this function is unclear.
11,F:\projects\apachecnInterview\src\py3.x\kaggle\getting-started\titanic\titanic-python3.6.py,main,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
0,F:\projects\appleturicreate\src\external\xgboost\python-package\xgboost\sklearn.py,get_params,1,nan_equivalence_comparison_misused,NaN equivalence comparison misused
1,F:\projects\appleturicreate\src\external\xgboost\python-package\xgboost\training.py,cv,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
2,F:\projects\appleturicreate\src\python\turicreate\data_structures\sgraph.py,_vertex_list_to_dataframe,1,columns_and_datatype_not_explicitly_set,columns and datatype not explicit
