id,library,method
1,pandas,read_csv
2,pandas,read_excel
3,pandas,read_sql_query
4,pandas,from_dict
5,pandas,from_records
6,pandas,concat
7,pandas,merge
8,pandas,pivot_table
9,pandas,crosstab
10,pandas,melt
11,pandas,get_dummies
12,pandas,pivot
13,pandas,set_index
14,pandas,fillna
15,pandas,dropna
16,pandas,replace
17,pandas,stack
18,pandas,unstack
19,pandas,transpose
20,pandas,T
21,pandas,query
22,pandas,loc
23,pandas,iloc
24,pandas,xs
25,pandas,drop
26,pandas,drop_duplicates
27,pandas,reset_index
28,pandas,melt
29,pandas,merge
30,pandas,join
31,pandas,append
32,pandas,pivot_table
33,pandas,groupby
34,pandas,crosstab
35,pandas,melt
36,pandas,get_dummies
37,pandas,pivot
38,pandas,set_index
39,pandas,reset_index
40,pandas,sort_values
41,pandas,sort_index
42,pandas,rename
43,pandas,drop
44,pandas,dropna
45,pandas,fillna
46,pandas,replace
47,pandas,apply
48,pandas,loc
49,pandasx,iloc
50,pandas,xs
51,pandas,assign
52,pandas,where
53,pandas,mask
54,pandas,nlargest
55,pandas,nsmallest
56,pandas,quantile
57,pandas,corr
58,pandas,cov
59,pandas,describe
60,pandas,mean
61,pandas,median
62,pandas,mode
63,pandas,sum
64,pandas,prod
65,pandas,min
66,pandas,max
67,pandas,var
68,pandas,std
69,pandas,cumsum
70,pandas,cumprod
71,pandas,cummin
72,pandas,cummax
